algorithm,MAE,RMSE,R2,directional_accuracy,time_seconds,samples,interval,interval_desc,num_samples
KLMS,0.24217894962520894,0.3352671332402094,0.8501896904111559,0.5109489051094891,0.016660690307617188,118,1d,1 day,118
KRLS,0.20965252021858383,0.2922608315996876,0.8861584052316908,0.5255474452554745,0.017461061477661133,118,1d,1 day,118
ARF,0.4075162843903004,0.5714298037952811,0.564803378242019,0.44525547445255476,0.11514735221862793,118,1d,1 day,118
KNN,0.5064481664761586,0.6686477653851839,0.4041258647471828,0.44525547445255476,0.0041370391845703125,118,1d,1 day,118
KLMS,0.281803872140838,0.3825286134739577,0.8012680756154992,0.5078125,0.015080451965332031,109,1h,1 hour,109
KRLS,0.26333840646996176,0.35985835447493575,0.8241254639465329,0.53125,0.01825571060180664,109,1h,1 hour,109
ARF,0.4414246136807377,0.5935268087415526,0.5215677290984545,0.546875,0.016331911087036133,109,1h,1 hour,109
KNN,0.5304677172861256,0.6809273760098749,0.3702888616744153,0.546875,0.0036895275115966797,109,1h,1 hour,109
KLMS,0.3717307919159072,0.5363288393726136,0.7070642459554233,0.6451612903225806,0.0218045711517334,136,5m,5 minutes,136
KRLS,0.32240128291642245,0.48280768685108993,0.7626121792984946,0.7935483870967742,0.022342920303344727,136,5m,5 minutes,136
ARF,0.4961924632115795,0.6956672631234991,0.5071517542987454,0.5225806451612903,0.08004951477050781,136,5m,5 minutes,136
KNN,0.5830880533591586,0.7806265305710278,0.37942154179887033,0.5225806451612903,0.004394054412841797,136,5m,5 minutes,136
